AGREEMENT_RK,AGE,GENDER,EDUCATION,MARITAL_STATUS,CHILD_TOTAL,DEPENDANTS,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,OWN_AUTO,FL_PRESENCE_FL,FAMILY_INCOME,PERSONAL_INCOME,CREDIT,LOAN_NUM_TOTAL,LOAN_NUM_CLOSED,TARGET
60099204,42,1,Среднее,Не состоял в браке,1,0,1,0,0,1,от 20000 до 50000 руб.,25000,5588,1,0,1
62244665,28,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,от 10000 до 20000 руб.,10000,19498,1,0,0
61050759,64,0,Среднее специальное,Состою в браке,2 и больше,0,1,1,1,0,от 20000 до 50000 руб.,30000,15470,1,1,0
62079659,54,1,Среднее специальное,Состою в браке,0,0,1,0,1,1,от 20000 до 50000 руб.,25000,13960,1,0,0
66583553,26,0,Среднее специальное,Состою в браке,1,1,1,0,0,1,от 10000 до 20000 руб.,15000,11890,2,2,0
66759647,63,1,Среднее,Состою в браке,2 и больше,0,0,1,0,0,от 10000 до 20000 руб.,7800,11470,1,1,0
60045224,32,0,Среднее специальное,Состою в браке,0,0,1,0,0,0,от 10000 до 20000 руб.,12000,24700,1,0,1
66593813,52,1,Среднее,Состою в браке,1,0,1,0,0,1,от 10000 до 20000 руб.,8000,11551,3,3,0
62380912,47,0,Среднее,Состою в браке,2 и больше,0,1,0,0,0,от 10000 до 20000 руб.,10000,29990,1,0,0
65420244,23,1,Среднее специальное,Не состоял в браке,0,0,1,0,0,0,от 5000 до 10000 руб.,7000,7431,1,1,0
64885090,42,1,Среднее специальное,Состою в браке,2 и больше,1,1,0,0,0,от 20000 до 50000 руб.,9000,13190,1,0,0
61241205,31,1,Среднее специальное,Не состоял в браке,0,0,1,0,0,1,от 10000 до 20000 руб.,12000,21220,1,0,0
65396723,25,1,Высшее,Состою в браке,0,0,1,0,0,0,от 10000 до 20000 руб.,4900,6245,1,1,0
63590644,37,1,Среднее специальное,Состою в браке,2 и больше,2 и больше,1,0,0,0,от 20000 до 50000 руб.,20000,19660,1,0,0
62168155,52,1,Среднее специальное,Вдовец/Вдова,2 и больше,0,0,1,0,1,от 5000 до 10000 руб.,5500,6000,1,0,0
74560681,46,1,Среднее,Не состоял в браке,2 и больше,0,1,0,0,0,от 5000 до 10000 руб.,55000,5835,2,2,0
60387399,28,1,Среднее,Не состоял в браке,1,1,1,0,0,0,от 10000 до 20000 руб.,8500,9341,1,0,0
62810257,62,1,Неполное среднее,Не состоял в браке,0,0,0,1,0,0,от 10000 до 20000 руб.,8000,8370,1,0,0
61376906,50,0,Среднее специальное,Состою в браке,1,0,1,0,1,1,от 20000 до 50000 руб.,20000,29742,1,0,0
62178934,30,1,Среднее специальное,Состою в браке,2 и больше,2 и больше,1,0,0,0,от 10000 до 20000 руб.,5000,9054,1,0,1
61257026,64,0,Высшее,Не состоял в браке,0,0,0,1,0,1,от 5000 до 10000 руб.,9000,19990,1,0,0
62171073,41,1,Среднее,Состою в браке,0,0,1,0,0,0,от 10000 до 20000 руб.,6500,16100,1,0,0
64365052,27,1,Среднее специальное,Не состоял в браке,0,0,1,0,0,0,от 5000 до 10000 руб.,7000,8090,1,1,0
60456097,41,1,Среднее специальное,Состою в браке,0,0,1,0,0,0,от 10000 до 20000 руб.,8000,5040,1,1,0
75021737,30,1,Высшее,Не состоял в браке,0,0,1,0,1,0,от 5000 до 10000 руб.,15000,14796,3,2,0
74834078,61,1,Среднее специальное,Состою в браке,2 и больше,0,1,1,1,0,от 20000 до 50000 руб.,27000,98030,1,0,0
67335615,38,1,Среднее,Состою в браке,0,1,1,0,0,0,от 20000 до 50000 руб.,15000,5738,3,1,0
66194407,51,1,Среднее,Гражданский брак,0,0,1,0,0,0,от 20000 до 50000 руб.,6000,5015,1,0,0
63326150,58,0,Среднее,Состою в браке,2 и больше,0,0,1,0,0,от 10000 до 20000 руб.,10500,21246,1,0,0
59911832,35,0,Высшее,Разведен(а),1,1,1,0,0,1,от 20000 до 50000 руб.,15000,10450,2,2,0
